book_title,book_authors,book_format,book_isbn,book_pages,book_rating,book_rating_count
Flowers for Algernon,Daniel Keyes,Paperback,978315741241,311 ,4.09,389448
The Shadow of the Wind,Carlos Ruiz Zafón|Lucia Graves,Paperback,978315741242,487 ,4.26,360901
The Name of the Wind,Patrick Rothfuss,Hardcover,978315741243,662 ,4.55,546719
Looking for Alaska,John Green,Paperback,978315741244,221 ,4.06,941603
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Paperback,978315741245,226 ,3.86,1007662
The Unbearable Lightness of Being,Milan Kundera|Michael Henry Heim|千野栄一,Paperback,978315741246,320 ,4.09,277895
The Metamorphosis,Franz Kafka|Stanley Corngold,Paperback,978315741247,201 ,3.8,489130
The Name of the Rose,Umberto Eco|William Weaver|Seán Barrett,Paperback,978315741248,536 ,4.12,250865
The Scarlet Letter,Nathaniel Hawthorne|Thomas E. Connolly|Nina Baym,Paperback,978315741249,238 ,3.38,612448
Harry Potter and the Half-Blood Prince,J.K. Rowling|Mary GrandPré,Paperback,978315741250,652 ,4.55,1991117
"Hush, Hush",Becca Fitzpatrick,Hardcover,978315741251,391 ,3.99,503810
The Five People You Meet in Heaven,Mitch Albom,Paperback,978315741252,196 ,3.91,501872
The Godfather,Mario Puzo|Robert Thompson|Peter Bart,Paperback,978315741253,448 ,4.37,288663
In Cold Blood,Truman Capote,Paperback,978315741254,343 ,4.06,444758
Anna Karenina,Leo Tolstoy|Aylmer Maude|Louise Maude,Paperback,978315741255,964 ,4.03,530949
Lonesome Dove,Larry McMurtry,Paperback,978315741256,945 ,4.48,127633
The Cat in the Hat,Dr. Seuss,Hardcover,978315741257,61 ,4.16,344152
Fight Club,Chuck Palahniuk,Paperback,978315741258,218 ,4.2,423710
Holes,Louis Sachar,Paperback,978315741259,233 ,3.94,843140
Dune,Frank Herbert,Paperback,978315741260,528 ,4.21,585599
The Little House Collection,Laura Ingalls Wilder|Garth Williams,Boxed Set,978315741261,2700 ,4.33,132868
American Gods,Neil Gaiman,Paperback,978315741262,635 ,4.11,618465
Watchmen,Alan Moore|Dave Gibbons|John Higgins,Paperback,978315741263,416 ,4.35,440759
The Divine Comedy,Dante Alighieri|Allen Mandelbaum|Eugenio Montale,Hardcover,978315741264,798 ,4.07,96903
The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company|Jess Borgeson|Adam Long|Daniel Singer|Jess Winfield,Hardcover,978315741265,137 ,4.47,7949
Peter Pan,J.M. Barrie|Michael Hague,Hardcover,978315741266,176 ,4.09,222805
Perfume: The Story of a Murderer,Patrick Süskind|John E. Woods,Paperback,978315741267,263 ,4.01,257570
All Quiet on the Western Front,Erich Maria Remarque|A.W. Wheen,Mass Market Paperback,978315741268,296 ,3.94,306844
"The Lion, the Witch and the Wardrobe",C.S. Lewis,Paperback,978315741269,206 ,4.2,1801850
Shadow Kiss,Richelle Mead,Paperback,978315741270,443 ,4.37,302887
The Count of Monte Cristo,Alexandre Dumas|Robin Buss,Paperback,978315741271,1276 ,4.23,655998
It,Stephen King,Paperback,978315741272,1116 ,4.22,612234
The Last Olympian,Rick Riordan,Audio CD,978315741273,381 ,4.5,553701
A Walk to Remember,Nicholas Sparks,Paperback,978315741274,240 ,4.16,583106
Love in the Time of Cholera,Gabriel García Márquez|Edith Grossman,Paperback,978315741275,348 ,3.9,348861
Insurgent,Veronica Roth,Hardcover,978315741276,525 ,4.06,1017639
The Thorn Birds,Colleen McCullough,Mass Market Paperback,978315741277,692 ,4.23,286194
Harry Potter and the Chamber of Secrets,J.K. Rowling|Mary GrandPré,Hardcover,978315741278,341 ,4.4,2162618
How the Grinch Stole Christmas!,Dr. Seuss,Hardcover,978315741279,64 ,4.36,281489
